Events
100
Subject,Context,Name,Time (s),Description
Knife-Expert,Left,Foot Strike,2.98,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,5.09,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,7.07,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,8.95,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,10.6,The instant the heel strikes the ground
Knife-Expert,Left,Foot Off,2.36,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,4.56,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,6.59,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,8.45,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,10.36,The instant the toe leaves the ground
Knife-Expert,Right,Foot Strike,1.83,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,4.06,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,6.12,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,8.01,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,9.86,The instant the heel strikes the ground
Knife-Expert,Right,Foot Off,1,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,3.48,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,5.47,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,7.5,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,9.39,The instant the toe leaves the ground

Trajectories
100
,,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
70,0,-62.6078,12.5644,216.177,-64.6136,-49.6651,208.09,-61.138,-7.56875,206.151,2.09983,12.8904,338.32,-2.6176,24.0443,402.176,2.52185,11.6688,369.615,14.3302,37.3689,430.201
71,0,-60.2496,9.83496,215.387,-61.6723,-52.4259,206.998,-58.3902,-10.4259,205.121,1.93262,12.8124,338.323,-2.81348,23.9752,402.175,2.18908,11.5484,369.648,13.9805,37.2616,430.195
72,0,-56.7567,7.29325,214.467,-57.4453,-54.9347,206.331,-54.6588,-12.8148,204.498,1.84275,12.7344,338.325,-2.95379,23.8846,402.178,1.9655,11.4331,369.64,13.8012,37.2014,430.185
73,0,-53.4778,4.99303,213.907,-53.143,-57.2809,205.383,-50.8125,-15.0856,203.742,1.77427,12.6694,338.327,-3.09235,23.8093,402.168,1.7905,11.3082,369.665,13.7138,37.1469,430.186
74,0,-49.9191,2.80229,213.092,-48.5408,-59.3451,204.414,-46.6775,-17.2015,202.862,1.69929,12.5733,338.348,-3.24802,23.69,402.206,1.64154,11.2037,369.667,13.6397,37.0842,430.19
75,0,-46.0897,0.766481,212.247,-44.0092,-61.2967,203.365,-42.4904,-19.1266,202.053,1.65307,12.4701,338.361,-3.27124,23.6024,402.192,1.61256,11.0945,369.662,13.6007,36.9997,430.195
76,0,-42.5905,-0.838768,211.62,-39.4891,-62.5823,201.918,-38.5656,-20.6945,201.362,1.65289,12.3388,338.386,-3.23013,23.4916,402.171,1.64116,10.9448,369.659,13.5805,36.887,430.191
77,0,-39.4475,-2.36867,210.994,-35.4052,-64.4038,201.182,-34.7353,-22.1283,200.666,1.67694,12.1845,338.407,-3.15246,23.3714,402.141,1.72533,10.7833,369.66,13.5893,36.7266,430.185
78,0,-36.4502,-3.79137,210.329,-31.8598,-65.5577,200.293,-31.2536,-23.421,199.95,1.78494,12.0194,338.424,-3.02448,23.2256,402.117,1.91308,10.5896,369.652,13.6212,36.5488,430.166
79,0,-33.5526,-5.03347,209.898,-28.632,-66.7235,199.749,-28.3336,-24.6348,199.564,1.96574,11.8253,338.433,-2.8736,22.9743,402.183,2.13992,10.3902,369.63,13.7685,36.2992,430.185
80,0,-30.8627,-6.29053,209.407,-25.7707,-67.9539,199.229,-25.5598,-25.7735,199.08,2.22302,11.6441,338.465,-2.67682,22.5719,402.272,2.40573,10.1825,369.642,14.0442,36.032,430.213
81,0,-28.5717,-7.43771,209.119,-22.896,-69.0348,198.806,-22.9245,-26.7966,198.824,2.56651,11.4615,338.477,-2.38876,22.1533,402.31,2.78023,9.91418,369.659,14.4659,35.7226,430.191
82,0,-26.175,-8.2879,208.83,-19.9252,-70.0166,198.37,-20.4118,-27.8397,198.435,2.86277,11.2605,338.462,-2.11546,21.8722,402.336,3.32868,9.63139,369.661,14.8614,35.4018,430.223
83,0,-23.9656,-9.15805,208.438,-17.0881,-70.7957,197.896,-17.9861,-28.6197,198.073,3.28539,11.0194,338.468,-1.80243,21.6731,402.325,3.6517,9.44585,369.654,15.3903,35.1442,430.229
84,0,-21.7771,-9.94374,207.829,-14.7868,-71.6448,197.31,-15.7754,-29.266,197.508,3.72895,10.7481,338.469,-1.28594,21.325,402.356,4.00519,9.2733,369.666,15.7983,34.967,430.242
85,0,-19.9059,-10.6292,207.079,-12.7821,-72.0606,196.408,-13.8912,-29.9052,196.76,4.13949,10.4777,338.481,-0.797411,21.0252,402.481,4.49781,9.07411,369.675,16.2335,34.7501,430.261
86,0,-18.5956,-11.129,206.351,-10.863,-72.6764,195.512,-12.2155,-30.4224,195.756,4.55081,10.2794,338.486,-0.351613,20.8532,402.54,4.92506,8.81291,369.703,16.7162,34.501,430.305
87,0,-17.276,-11.754,205.444,-9.49684,-73.0935,194.379,-10.9113,-31.031,194.869,4.84504,10.1455,338.501,0.2525,20.697,402.489,5.45125,8.64398,369.762,17.1753,34.2079,430.368
88,0,-15.8777,-12.1841,204.553,-8.0827,-73.5872,193.341,-9.63364,-31.2641,194.038,5.22144,9.98205,338.515,0.787639,20.4249,402.413,5.87271,8.42995,369.781,17.791,33.9728,430.417
