Events
100
Subject,Context,Name,Time (s),Description
Knife-Expert,Left,Foot Strike,2.98,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,5.09,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,7.07,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,8.95,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,10.6,The instant the heel strikes the ground
Knife-Expert,Left,Foot Off,2.36,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,4.56,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,6.59,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,8.45,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,10.36,The instant the toe leaves the ground
Knife-Expert,Right,Foot Strike,1.83,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,4.06,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,6.12,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,8.01,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,9.86,The instant the heel strikes the ground
Knife-Expert,Right,Foot Off,1,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,3.48,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,5.47,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,7.5,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,9.39,The instant the toe leaves the ground

Trajectories
100
,,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
559,0,10.7111,6.30387,211.606,23.9478,-53.0722,228.521,17.8389,-15.5806,209.949,10.5016,4.78742,338.445,7.20109,14.7653,402.588,11.4125,2.73942,369.745,24.9081,27.7135,430.395
560,0,10.4273,7.61035,210.94,22.9643,-51.6743,227.916,17.0059,-14.1753,209.347,10.9449,4.62661,338.446,7.57361,14.4981,402.717,11.9444,2.57132,369.694,25.2838,27.4067,430.406
561,0,10.2832,9.22905,210.284,22.3351,-50.0736,227.582,16.7774,-12.5029,208.658,11.4236,4.375,338.431,8.30815,14.2038,402.679,12.4348,2.27199,369.691,25.9413,27.1312,430.403
562,0,10.3002,11.1412,209.587,21.9021,-48.2091,227.167,16.2164,-10.7724,208.193,11.9963,4.03957,338.418,8.93759,13.9608,402.602,12.9974,2.00266,369.7,26.7444,26.8659,430.338
563,0,10.0657,13.0402,208.789,21.3958,-46.3442,226.524,16.1965,-8.98478,207.398,12.4877,3.75648,338.433,9.45321,13.6605,402.588,13.4923,1.76354,369.704,27.4596,26.5837,430.303
564,0,9.78287,14.9721,207.912,20.7887,-44.4583,225.78,15.7154,-7.07467,206.68,12.9734,3.54877,338.397,10.0838,13.262,402.546,14.281,1.48583,369.65,27.8909,26.1884,430.288
565,0,9.95489,17.0364,206.819,20.0546,-42.3836,224.942,15.6718,-5.01757,205.588,13.4826,3.30248,338.395,10.6939,13.0341,402.619,14.8161,1.22734,369.563,28.4846,25.809,430.272
566,0,9.54033,19.1994,205.458,19.7914,-40.2442,223.578,15.1329,-2.91372,204.346,13.8318,3.07549,338.371,11.366,12.6489,402.629,15.4265,0.786633,369.585,29.0422,25.41,430.288
567,0,8.98968,21.2196,203.784,19.1412,-38.3205,222.139,14.8686,-0.847864,202.681,14.394,2.72482,338.413,11.8461,12.2727,402.62,15.7016,0.449499,369.586,29.7068,25.1199,430.288
568,0,8.53385,23.2431,201.919,18.8513,-36.1679,220.15,14.779,1.23998,200.795,14.8922,2.36785,338.371,12.2056,11.9607,402.659,16.0773,0.145916,369.71,30.1254,24.8,430.274
569,0,9.39714,25.7708,199.293,18.4889,-33.8923,217.831,14.5693,3.57606,198.696,15.2313,2.1229,338.299,12.6566,11.5621,402.64,16.4124,-0.176519,369.699,30.6071,24.4756,430.272
570,0,9.26468,28.0756,197.165,18.4826,-31.72,215.217,14.3193,5.70437,196.057,15.5671,1.93955,338.269,12.8772,11.1778,402.723,16.8378,-0.491809,369.692,30.8873,24.1528,430.277
571,0,8.79394,30.4579,194.407,18.1381,-29.4702,211.973,14.1962,8.0985,193.09,15.8921,1.72387,338.248,13.3179,10.9551,402.727,17.3338,-0.790965,369.682,31.4177,23.8778,430.283
572,0,8.25724,32.8073,190.972,17.7275,-27.2532,208.053,13.7893,10.4098,189.553,16.2545,1.38984,338.254,14.1674,10.7161,402.528,17.6113,-1.18886,369.814,32.0531,23.5893,430.219
573,0,7.89728,35.1136,186.912,17.4937,-25.0794,203.508,13.4216,12.8468,185.2,16.6442,0.949434,338.33,14.6358,10.3176,402.492,18.1909,-1.47755,369.703,32.5708,23.2452,430.223
574,0,7.25316,37.4814,182.578,16.9758,-22.8442,198.687,13.0529,15.4529,180.816,16.9971,0.590513,338.347,14.8869,9.9764,402.611,18.6254,-1.7939,369.689,33.0597,22.8617,430.237
575,0,6.29555,39.8698,178.754,16.6185,-20.1802,194.005,12.5954,18.0139,176.575,17.3129,0.318197,338.291,15.3424,9.47,402.608,18.8995,-2.14971,369.712,33.3915,22.3939,430.255
576,0,6.07677,42.7441,174.355,16.2485,-17.4901,189.142,12.1717,20.9079,172.005,17.8103,0.0472119,338.214,15.5553,8.88605,402.941,19.588,-2.36478,369.507,33.8795,21.8798,430.256
577,0,5.85966,45.7548,169.974,16.2901,-14.5585,184.266,11.7496,23.9384,167.454,18.2148,-0.291061,338.2,16.3006,8.75778,402.687,20.0254,-2.65673,369.455,34.2638,21.4612,430.186
578,0,5.83674,48.8475,165.576,15.7205,-11.8496,179.1,11.5217,27.0509,162.885,18.7659,-0.776027,338.283,17.021,8.29463,402.614,20.6558,-3.15438,369.397,34.9997,20.9972,430.146
579,0,5.48145,51.8806,161.081,15.4647,-8.8262,173.845,10.9614,30.1038,158.22,19.2237,-1.15266,338.32,17.4405,7.83054,402.677,21.1042,-3.61728,369.43,35.5768,20.4201,430.128
580,0,4.81146,55.2049,156.491,14.9521,-5.65317,168.768,10.0865,33.4479,153.459,19.4848,-1.43547,338.256,18.0173,7.25406,402.56,21.511,-4.01735,369.414,36.1367,19.9881,430.129
581,0,3.88681,58.6328,151.886,14.4024,-2.42373,163.499,9.50731,36.7468,148.396,19.9498,-1.85832,338.214,18.3625,6.82927,402.537,21.8421,-4.65198,369.589,36.4824,19.5492,430.105
582,0,3.36042,62.0566,147.293,14.1621,1.02315,158.161,9.16132,40.1794,143.59,20.3497,-2.39878,338.212,18.7694,6.26403,402.549,22.171,-5.06827,369.609,36.9473,18.9326,430.156
583,0,2.73336,65.3762,142.389,13.663,4.24936,152.523,8.26521,43.78,138.338,20.7463,-2.90676,338.242,18.9907,5.3913,402.726,22.828,-5.40578,369.268,37.2795,18.337,430.21
584,0,2.01219,68.7869,137.843,13.2121,7.60219,147.075,7.8112,47.3752,133.301,21.1306,-3.26549,338.222,19.4246,5.06471,402.706,23.2065,-5.93263,369.247,37.914,17.8375,430.131
585,0,0.916509,72.4898,133.738,12.4907,11.2546,142.198,6.82735,50.9154,129.141,21.3621,-3.52485,338.174,20.0063,4.73663,402.625,23.4765,-6.24518,369.31,38.2733,17.4445,430.063
586,0,0.130826,75.9685,129.243,11.1603,14.3273,137.758,5.78643,54.4733,124.497,21.5373,-3.77665,338.139,20.3475,4.46011,402.563,23.7567,-6.5438,369.356,38.5696,17.0527,430.049
587,0,-1.30969,79.3442,124.667,8.81623,16.9088,133.146,4.89902,57.9333,119.429,21.8059,-4.11303,338.143,20.4717,4.12236,402.544,23.773,-7.12581,369.631,38.8989,16.6578,430.076
588,0,-2.44566,82.7435,120.291,8.76003,20.6399,127.447,3.59145,61.4322,114.796,21.9962,-4.37878,338.15,20.7272,4.03511,402.555,23.912,-7.39025,369.588,39.0601,16.4113,430.092
589,0,-3.39857,85.961,116.538,9.09329,24.3242,122.217,2.67335,64.8844,110.631,22.065,-4.55,338.133,20.7205,3.74731,402.514,23.9467,-7.56972,369.598,39.1048,16.2505,430.097
590,0,-4.93672,88.9743,112.968,9.28617,27.7543,117.515,1.61486,68.0824,106.995,22.0827,-4.637,338.115,20.7476,3.67084,402.494,24.0284,-7.53208,369.582,39.1134,16.1572,430.08
591,0,-6.18886,92.4284,110.009,7.91317,30.8029,113.81,0.264848,71.175,103.71,22.0348,-4.67717,338.127,20.7317,3.63925,402.492,23.9802,-7.59617,369.599,39.0786,16.1058,430.094
592,0,-8.15994,95.0742,107.207,7.26627,33.9288,110.533,-1.08848,74.3329,100.924,21.9612,-4.67326,338.138,20.6553,3.6554,402.505,23.8808,-7.64212,369.63,39.0248,16.0886,430.112
593,0,-9.25381,97.7085,105.275,5.91047,36.5273,107.55,-2.45743,76.8892,98.3464,21.7962,-4.65212,338.148,20.528,3.70581,402.522,23.7667,-7.61868,369.656,38.939,16.0922,430.125
594,0,-10.7529,100.273,103.363,5.5506,39.575,105.531,-3.96006,79.7821,96.5024,21.6011,-4.60016,338.149,20.3897,3.7872,402.539,23.5842,-7.58064,369.686,38.7711,16.13,430.145
595,0,-11.1112,103.134,102.026,7.33399,42.5569,103.462,-3.83581,82.6428,94.9596,21.4112,-4.56043,338.156,20.2356,3.83793,402.544,23.3294,-7.54626,369.713,38.5347,16.1451,430.154
596,0,-9.59768,106.225,100.718,10.3599,46.2823,101.605,-1.82003,86.1093,93.5804,21.1423,-4.4991,338.174,19.9275,3.81665,402.59,22.954,-7.509,369.714,38.2249,16.1822,430.164
597,0,-8.85305,109.51,100.432,12.5154,49.9966,101.161,-0.943019,89.6895,93.1203,20.8728,-4.41818,338.17,19.4976,3.7844,402.648,22.7,-7.32338,369.494,37.8857,16.2545,430.19
598,0,-8.26676,112.899,100.792,13.7583,53.2607,101.699,-0.672692,92.7981,93.9573,20.6275,-4.35771,338.175,19.0174,3.78297,402.715,22.2669,-7.43026,369.743,37.5054,16.3162,430.243
599,0,-9.09021,115.554,102.002,12.8766,55.937,102.488,-0.779238,95.3218,94.5395,20.2949,-4.29363,338.176,18.7092,3.88886,402.695,22.1819,-7.23119,369.451,37.0928,16.394,430.291
600,0,-11.7584,116.564,103.963,11.7593,58.1941,103.315,-2.86227,96.7863,95.9211,20.0236,-4.206,338.181,18.4462,4.03616,402.658,21.8039,-7.25638,369.682,36.7533,16.5073,430.314
601,0,-12.9372,118.059,104.58,10.2645,60.1117,104.263,-5.2289,98.229,97.9199,19.8103,-4.14021,338.213,18.2145,4.13204,402.644,21.5833,-7.10973,369.614,36.6047,16.5976,430.326
602,0,-13.9381,120.013,105.611,9.42211,61.8903,104.974,-6.46256,100.232,98.9417,19.665,-4.07678,338.215,18.0844,4.25578,402.577,21.459,-6.98157,369.566,36.4374,16.6992,430.339
603,0,-15.0663,122.034,106.312,8.24632,63.3186,106.047,-7.77234,101.667,99.8456,19.5312,-4.00974,338.221,17.9714,4.35324,402.547,21.3949,-6.81482,369.476,36.2586,16.8228,430.34
604,0,-15.9439,123.456,107.337,6.97454,65.013,106.69,-8.93664,103.255,100.976,19.3792,-3.94603,338.226,17.8055,4.47636,402.539,21.2873,-6.71283,369.468,36.037,16.913,430.328
605,0,-17.2893,124.688,108.842,5.88778,66.1344,108.182,-9.51716,104.817,101.635,19.2655,-3.86864,338.234,17.6854,4.62146,402.509,21.1402,-6.65368,369.519,35.8515,17.0308,430.319
606,0,-17.3274,126.145,109.272,4.05191,66.9371,110.557,-10.421,106.069,102.938,19.1574,-3.8024,338.23,17.5868,4.75837,402.512,21.0251,-6.57149,369.502,35.7332,17.1538,430.309
607,0,-17.6985,127.803,110.692,3.83294,68.3734,112.042,-10.8739,107.295,104.262,19.0942,-3.73915,338.237,17.456,4.8355,402.521,21.0537,-6.37326,369.309,35.6359,17.2293,430.319
608,0,-18.1608,128.575,112.586,2.88495,68.9852,114.487,-11.2168,108.257,105.939,19.0368,-3.67879,338.247,17.368,4.91479,402.547,21.0004,-6.31176,369.31,35.6039,17.3127,430.313
609,0,-17.9049,129.464,113.937,3.71147,70.3454,115.749,-10.9036,109.24,107.309,19.0166,-3.62284,338.252,17.3169,4.95601,402.579,20.9695,-6.25739,369.322,35.6101,17.3755,430.31
610,0,-17.9712,130.266,115.82,4.76834,71.4546,117.384,-10.8123,110.028,109.463,19.0316,-3.57248,338.259,17.3318,4.9994,402.58,20.9882,-6.22087,369.326,35.6489,17.4238,430.308
611,0,-16.9608,131.205,117.524,5.58717,72.1617,119.437,-10.0756,110.601,111.498,19.0824,-3.56495,338.256,17.3993,5.00426,402.577,21.0432,-6.21672,369.329,35.7242,17.4405,430.303
612,0,-15.8962,131.531,119.894,7.13029,72.6931,122.187,-8.85932,111.029,113.591,19.1754,-3.59618,338.257,17.5495,4.98041,402.548,21.1341,-6.23796,369.324,35.8195,17.4166,430.297
613,0,-14.2365,131.902,122.052,8.77263,73.1633,124.919,-7.97894,110.976,116.367,19.2994,-3.64868,338.25,17.7373,4.9227,402.509,21.2734,-6.30375,369.321,36.0069,17.3459,430.304
614,0,-13.1923,131.709,124.93,10.8454,73.281,127.518,-6.21054,111.164,118.905,19.4615,-3.73731,338.251,17.9227,4.79471,402.531,21.4101,-6.39793,369.334,36.2394,17.2225,430.301
615,0,-11.5486,131.196,127.699,12.6932,73.1642,130.54,-4.72783,110.631,121.974,19.6268,-3.85301,338.223,18.1396,4.61053,402.535,21.5342,-6.55969,369.319,36.4824,17.0409,430.311
616,0,-9.67406,130.728,130.283,15.1226,72.8835,133.551,-3.07875,109.8,124.847,19.7924,-4.00563,338.195,18.3003,4.38792,402.596,21.5552,-6.9478,369.607,36.665,16.801,430.306
617,0,-7.594,129.76,132.817,17.0492,71.7107,136.951,-0.712192,109.091,127.382,20.0103,-4.18232,338.173,18.4763,4.08687,402.658,21.7991,-7.23698,369.684,36.8002,16.5332,430.301
618,0,-5.28018,128.696,135.489,19.161,70.2167,140.099,1.08152,107.694,130.234,20.286,-4.42894,338.187,18.714,3.70397,402.705,22.0654,-7.50189,369.706,37.1313,16.2118,430.281
619,0,-3.30407,126.714,138.538,21.3889,68.7979,142.953,2.9026,105.64,133.383,20.5341,-4.67886,338.187,18.9463,3.45477,402.676,22.3119,-7.61481,369.468,37.4641,15.9562,430.27
620,0,-1.02502,125.12,141.032,23.5032,66.8288,145.959,5.48846,104.165,135.939,20.7249,-4.9288,338.197,19.2081,3.29409,402.622,22.3572,-7.98356,369.714,37.6375,15.7177,430.253
621,0,1.86903,123.136,143.569,26.2177,64.5712,148.481,7.7535,101.768,138.741,20.8491,-5.15397,338.202,19.3822,3.16705,402.553,22.658,-7.99995,369.408,37.7719,15.5131,430.251
622,0,4.49224,120.456,146.333,29.3195,62.5551,151.075,10.5258,99.1639,141.441,20.909,-5.29374,338.192,19.4823,3.02502,402.527,22.7594,-8.12163,369.36,37.7836,15.3494,430.269
623,0,7.95981,118.181,148.91,32.6115,60.1702,153.727,13.8328,96.8561,143.872,20.8907,-5.4053,338.204,19.4502,2.90833,402.509,22.7769,-8.20499,369.337,37.7553,15.2269,430.271
624,0,11.4897,115.619,151.74,36.6274,57.5829,156.608,17.2258,94.128,147.218,20.8304,-5.46128,338.209,19.2997,2.80052,402.517,22.6897,-8.24932,369.339,37.6336,15.1547,430.287
625,0,14.893,112.829,155.274,40.0322,54.9947,160.481,20.8699,91.4978,150.642,20.6988,-5.447,338.231,19.0114,2.7669,402.556,22.5291,-8.21869,369.369,37.4569,15.1513,430.29
626,0,18.7964,109.866,158.987,44.5089,52.4641,164.039,24.169,88.3613,154.718,20.4652,-5.35624,338.279,18.7376,2.79293,402.602,22.3106,-8.095,369.403,37.1492,15.262,430.313
627,0,22.772,107.065,162.488,48.0346,49.1122,168.745,27.8727,85.3504,158.742,20.0988,-5.17878,338.307,18.4863,2.97278,402.624,22.0484,-7.92887,369.486,36.6833,15.4364,430.317
628,0,26.4294,103.743,166.64,52.0146,46.361,172.984,31.4199,81.8967,163.053,19.7689,-4.9501,338.301,18.0748,3.21285,402.701,21.693,-7.77834,369.465,36.2662,15.6274,430.362
629,0,30.1236,100.71,170.257,55.2179,42.987,177.535,35.1534,78.6709,167.163,19.4746,-4.63817,338.297,17.6514,3.49985,402.74,21.3811,-7.4941,369.419,35.8785,15.9052,430.412
630,0,33.5302,97.0055,174.602,59.0511,39.5931,181.849,39.1466,75.4316,171.002,19.0505,-4.29327,338.242,17.3462,3.96522,402.604,20.887,-7.08573,369.403,35.2617,16.335,430.458
631,0,37.8304,93.6884,177.892,63.1692,36.4677,185.274,42.5176,71.8205,174.819,18.6586,-3.98133,338.268,16.6669,4.5512,402.607,20.1712,-6.88671,369.644,34.6688,16.8654,430.398
632,0,40.9317,89.7328,181.48,66.5713,32.9204,188.942,44.9713,67.7454,178.74,18.0851,-3.55674,338.308,15.9995,4.77945,402.647,19.481,-6.60196,369.867,34.046,17.332,430.416
633,0,44.9374,85.8615,184.206,69.7087,28.5877,192.108,49.1043,63.9147,181.605,17.4828,-3.09065,338.338,15.3774,5.26369,402.753,18.9994,-5.94268,369.656,33.4587,17.858,430.481
634,0,47.8526,81.8923,187.037,72.2795,24.1319,195.164,52.3949,59.7098,184.25,16.9847,-2.67992,338.335,14.8874,5.94737,402.631,18.4677,-5.44451,369.601,32.9464,18.498,430.506
635,0,49.5484,77.133,190.101,75.1112,19.921,197.955,54.8374,55.4996,187.126,16.3982,-2.26596,338.36,13.9598,6.40119,402.805,17.9036,-4.9272,369.584,32.001,19.0548,430.608
636,0,53.7277,73.8738,192.104,77.3044,15.6535,200.905,56.9376,51.1087,190.411,15.8737,-1.83922,338.391,13.3282,6.7889,402.799,17.249,-4.41479,369.631,31.1808,19.4494,430.645
637,0,55.7741,69.3836,195.204,79.1928,11.2365,204.246,59.201,46.9885,193.297,15.2476,-1.34419,338.466,12.6479,7.5348,402.722,16.6417,-3.92541,369.672,30.6406,20.1163,430.555
638,0,58.5521,65.4663,197.78,80.9281,7.11601,207.423,61.5683,43.2652,195.77,14.7894,-0.905931,338.508,12.2087,8.04193,402.672,15.9983,-3.50151,369.828,29.9553,20.6704,430.496
639,0,59.4749,61.4503,200.867,82.0374,2.83838,210.405,63.0574,39.0225,198.696,14.2681,-0.483782,338.519,11.6889,8.45471,402.753,15.5849,-3.04787,369.898,29.4894,21.0788,430.495
640,0,60.9188,57.0738,203.554,83.3086,-1.44991,213.404,64.349,34.954,201.283,13.8177,-0.105438,338.531,11.0808,9.00211,402.727,15.0632,-2.7292,369.937,28.7197,21.6695,430.524
641,0,62.1821,53.029,205.62,83.9928,-5.65915,215.563,65.007,30.7224,203.895,13.4422,0.243773,338.472,10.4624,9.419,402.743,14.5896,-2.34991,369.971,28.2022,22.1826,430.532
642,0,63.3062,49.111,206.95,84.6354,-9.71393,217.382,65.8758,26.586,205.659,13.1998,0.542083,338.443,10.0056,9.77151,402.792,14.1489,-1.95816,369.979,27.7986,22.5362,430.566
643,0,64.0469,45.8459,207.901,84.8028,-13.4515,218.481,66.2321,22.7294,206.943,12.9759,0.804593,338.443,9.74749,9.89038,402.831,13.979,-1.45058,369.742,27.5962,22.7789,430.644
644,0,63.9901,41.524,208.724,84.2412,-17.6348,219.198,66.1959,18.9236,207.597,12.7963,1.00009,338.472,9.61187,10.0576,402.809,13.84,-1.30694,369.706,27.3507,23.0125,430.666
645,0,62.7743,37.4393,209.616,82.6009,-21.9645,219.623,64.5126,14.6936,208.505,12.6484,1.16321,338.489,9.48531,10.2824,402.779,13.749,-1.20447,369.708,27.1172,23.2197,430.658
646,0,61.0769,33.5556,210.056,79.7232,-26.3233,219.388,62.7182,10.9429,208.348,12.5742,1.29375,338.507,9.4132,10.4944,402.754,13.7304,-1.07098,369.691,27.0189,23.3838,430.623
647,0,58.819,29.9313,209.226,76.276,-30.4916,218.758,59.5473,7.0774,208.133,12.5464,1.38027,338.527,9.39385,10.6587,402.742,13.7079,-0.953021,369.695,26.9665,23.5448,430.604
648,0,55.9874,25.9354,209.043,72.3657,-34.4776,217.614,56.4428,3.26746,207.279,12.5627,1.4554,338.527,9.40345,10.793,402.742,13.7196,-0.853419,369.691,26.9676,23.6893,430.571
649,0,53.4859,22.9591,207.578,68.7504,-38.0553,215.851,53.6565,0.272693,205.692,12.6288,1.51593,338.525,9.46961,10.8841,402.743,13.7713,-0.769172,369.678,27.0266,23.8131,430.54
650,0,51.0456,20.0222,206.498,64.9584,-41.4662,214.151,50.6331,-2.69184,204.401,12.7752,1.56458,338.523,9.57661,10.9601,402.741,13.8416,-0.723144,369.692,27.1475,23.8917,430.52
651,0,48.1727,17.1227,206.044,61.8571,-44.2136,212.78,47.7689,-5.27042,203.391,12.9522,1.59707,338.512,9.75159,10.9863,402.717,13.9489,-0.701429,369.701,27.3365,23.9364,430.504
652,0,45.8219,15.296,205.268,58.3541,-46.4613,212.391,45.0104,-7.35202,202.915,13.1337,1.6061,338.504,9.929,10.9258,402.738,14.139,-0.696206,369.697,27.5938,23.9692,430.497
653,0,43.3284,13.548,205.769,55.3446,-48.4382,213.008,42.5147,-8.95151,203.199,13.3029,1.57067,338.48,10.1148,10.8263,402.758,14.3921,-0.737095,369.883,27.8138,23.9089,430.512
654,0,43.5122,12.8523,205.733,56.8623,-48.6805,212.465,43.0939,-9.70083,202.97,13.4745,1.43181,338.437,10.2473,10.5975,402.77,14.5995,-0.88684,369.696,27.9187,23.689,430.516
655,0,43.7642,12.772,205.719,57.5403,-48.7182,212.434,43.4455,-9.92391,203.072,13.6176,1.31916,338.401,10.2957,10.4272,402.821,14.7255,-1.03675,369.717,27.9883,23.4796,430.546
656,0,43.9323,12.8744,205.682,57.8942,-48.5763,212.702,43.6267,-9.91235,203.161,13.7686,1.1965,338.396,10.33,10.2892,402.868,14.7806,-1.16822,369.748,28.0453,23.3085,430.586
657,0,43.9573,13.1065,205.505,57.8397,-48.3351,212.822,43.5467,-9.61819,203.1,13.6969,1.2229,338.409,10.2801,10.3055,402.87,14.7278,-1.15073,369.75,28.0121,23.3151,430.582
658,0,43.8929,13.6132,204.798,57.3084,-48.1157,212.504,43.419,-9.07983,202.596,13.5231,1.2868,338.421,10.1803,10.3974,402.813,14.5608,-1.09304,369.723,27.893,23.3925,430.572
659,0,43.1333,14.1086,204.299,56.6529,-47.2789,211.417,42.8802,-8.43782,201.722,13.2718,1.38524,338.455,9.97113,10.5667,402.764,14.2417,-0.963769,369.691,27.7045,23.5215,430.564
660,0,42.5106,14.7644,203.29,55.3223,-47.0275,210.612,41.9469,-7.91208,200.843,13.0101,1.50192,338.502,9.70405,10.8314,402.727,13.9273,-0.80577,369.688,27.3522,23.7167,430.535
661,0,41.6377,15.2668,202.514,54.0689,-46.4613,208.943,40.9129,-7.35649,199.663,12.5764,1.64567,338.542,9.28119,11.1678,402.711,13.6363,-0.569077,369.678,26.9379,23.9115,430.541
662,0,40.8386,16.2278,201.25,52.5892,-45.8135,207.604,40.1684,-6.26117,198.243,12.1543,1.76948,338.572,8.84026,11.3366,402.636,13.2028,-0.421554,369.638,26.5268,24.0978,430.543
663,0,39.585,16.8718,200.536,51.0765,-45.2324,206.101,38.7996,-5.5521,197.107,11.726,1.89568,338.592,8.42197,11.4152,402.513,12.7738,-0.311902,369.651,25.806,24.1994,430.555
664,0,38.8777,17.786,198.908,49.7808,-44.445,204.283,38.1139,-4.54851,195.314,11.2634,2.03678,338.537,7.64855,11.3424,402.663,12.1783,-0.259993,369.729,25.3338,24.2347,430.628
665,0,37.71,18.9164,197.789,48.2798,-43.349,202.246,36.954,-3.25478,193.617,10.8552,2.14993,338.519,6.95,11.4278,402.808,11.4654,-0.151601,369.783,24.6896,24.2994,430.672
666,0,36.5945,20.3485,195.965,47.048,-42.0788,200.16,35.8053,-1.90119,191.937,10.4893,2.17267,338.534,6.66883,11.6105,402.755,11.0302,-0.0759394,369.829,24.3136,24.3703,430.729
667,0,35.2007,21.221,195.273,45.7861,-40.5124,198.004,34.9211,-0.329246,190.02,9.95656,2.22016,338.518,6.36186,11.7684,402.717,10.6033,0.00406939,369.833,23.7862,24.4627,430.769
668,0,35.0853,23.7193,192.546,44.7584,-38.644,196.186,33.9962,1.51837,188.316,9.55301,2.22703,338.54,5.93297,11.8382,402.724,10.2464,0.0107942,369.875,23.1936,24.4959,430.79
669,0,33.6056,25.4734,190.948,43.4199,-36.8885,194.302,33.1546,3.5535,186.34,9.27681,2.19232,338.568,5.32148,11.7613,402.791,9.94924,-0.0746025,369.939,22.8223,24.4815,430.807
670,0,32.6093,27.8545,189.007,42.5648,-34.5061,192.075,31.9817,5.75552,184.755,9.01891,2.17196,338.577,4.84247,11.6309,402.813,9.59258,-0.180114,369.966,22.5247,24.434,430.786
671,0,31.4412,30.1074,187.377,41.538,-32.2517,190.16,31.2145,8.19501,182.448,8.73984,2.12576,338.553,4.48537,11.5047,402.789,9.2343,-0.290839,369.979,22.198,24.331,430.78
672,0,30.475,32.7043,185.031,40.7131,-29.6535,187.529,30.1869,10.7418,180.592,8.50575,2.0781,338.539,4.2602,11.4372,402.75,8.94104,-0.379293,369.972,21.9198,24.2032,430.786
673,0,29.4632,35.4559,183.307,39.8426,-26.9005,185.519,29.6389,13.6054,178.119,8.28494,2.03045,338.528,4.15032,11.419,402.706,8.74293,-0.425512,369.959,21.7368,24.0978,430.8
674,0,28.4522,38.3619,181.176,38.9728,-23.9931,183.102,28.6991,16.5163,175.957,8.12058,1.97347,338.528,4.03153,11.3832,402.691,8.60643,-0.454698,369.962,21.5992,24.0385,430.83
675,0,27.6291,41.6046,179.223,38.291,-20.7491,180.864,27.2448,19.2272,174.471,7.97843,1.913,338.527,3.91402,11.3694,402.675,8.48046,-0.453834,369.956,21.491,23.9835,430.853
676,0,26.7592,44.913,177.408,37.5624,-17.4393,178.763,26.2823,21.6435,172.798,7.81164,1.8701,338.529,3.82213,11.3592,402.664,8.33292,-0.456984,369.937,21.3299,23.9264,430.861
677,0,25.7141,48.1626,175.529,36.6585,-14.1882,176.599,25.1688,25.0841,170.768,7.66553,1.83149,338.525,3.72964,11.3392,402.631,8.16955,-0.469469,369.913,21.1418,23.8724,430.878
678,0,24.6189,51.5003,173.638,35.7046,-10.8492,174.423,24.0053,28.6128,168.726,7.49661,1.80791,338.529,3.59849,11.3351,402.633,7.95848,-0.500932,369.92,20.9534,23.8278,430.886
679,0,24.0445,55.2585,171.446,34.9855,-7.12733,172.257,23.3626,32.562,166.383,7.34006,1.77528,338.533,3.4594,11.3046,402.623,7.78184,-0.552761,369.921,20.7812,23.7565,430.907
680,0,22.8525,58.69,169.326,33.877,-3.38605,170.147,22.1022,36.1843,164.112,7.22216,1.70369,338.531,3.34089,11.242,402.623,7.63159,-0.642446,369.949,20.6408,23.651,430.936
681,0,21.6623,62.5277,167.271,32.776,0.149491,167.769,20.8437,40.213,161.905,7.1455,1.60766,338.521,3.25549,11.1026,402.663,7.53863,-0.746577,369.961,20.5797,23.5034,430.954
682,0,20.4001,66.3266,165.015,31.8212,4.21464,165.143,19.5131,44.2029,159.498,7.1536,1.44203,338.507,3.24114,10.8744,402.693,7.51261,-0.925537,369.973,20.6628,23.2937,430.954
683,0,18.3417,69.9923,162.76,30.4886,8.0877,162.426,18.5036,48.2367,157.009,7.26414,1.20184,338.519,3.30507,10.5915,402.736,7.56333,-1.22919,370,20.9113,23.0274,430.925
