,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,-79.6743,81.5397,131.888,-72.6627,20.9092,122.007,-77.3487,62.4154,121.696,3.71047,-31.8663,331.082,2.77968,-29.5634,395.911,5.7827,-38.024,362.342,18.0429,-16.698,425.784
18,-79.6685,82.2163,131.412,-72.8139,21.58,121.458,-76.8989,63.1331,120.969,3.25221,-31.7907,331.065,2.18764,-29.4182,395.982,5.25528,-37.9633,362.385,17.4645,-16.1285,425.408
19,-79.7515,82.7116,130.981,-72.6568,22.4656,120.804,-77.1939,63.9212,120.784,2.75753,-31.7281,331.061,1.7979,-29.3692,395.988,4.73942,-37.8863,362.391,17.0024,-16.1417,425.453
20,-79.7509,83.3059,130.518,-72.7387,22.8547,120.269,-78.3102,64.5098,121.037,2.33367,-31.6698,331.053,1.28835,-29.3209,395.932,4.35981,-37.7963,362.379,16.3092,-16.1139,425.512
21,-79.9043,83.7533,130.263,-72.9384,23.2099,119.89,-77.2564,64.8039,119.793,1.92481,-31.6024,331.068,0.740924,-29.2603,395.913,4.08463,-37.7077,362.345,15.7453,-16.2956,425.894
22,-79.4159,84.4422,129.776,-73.0039,23.7423,119.537,-77.4937,65.1939,119.652,1.56977,-31.5386,331.102,0.22287,-29.1238,395.834,3.68716,-37.6398,362.308,15.2149,-16.2001,425.898
23,-79.3419,84.7836,129.453,-72.7372,24.3622,119.075,-77.8691,65.9766,119.709,1.18249,-31.4784,331.133,-0.0818998,-29.1429,395.931,3.14175,-37.5679,362.36,14.7657,-16.1394,425.967
24,-79.2763,85.2439,129.194,-72.7152,24.7264,118.766,-77.901,66.3988,119.444,0.777511,-31.4042,331.146,-0.499332,-29.1151,396.003,2.6915,-37.531,362.414,14.2239,-16.0133,425.997
25,-78.9284,85.6351,128.911,-72.6171,25.058,118.453,-77.7729,66.7165,119.23,0.420019,-31.3274,331.133,-0.952813,-29.0544,396.034,2.31699,-37.5082,362.44,13.7465,-15.9438,426.025
26,-78.7195,85.9942,128.747,-72.4636,25.3596,118.239,-77.1504,67.0646,118.859,0.120002,-31.2672,331.098,-1.37504,-29.0023,395.989,2.06818,-37.4815,362.445,13.3344,-15.9248,426.064
